Quest Title,Type,Objectives,Rewards,Required for Kappa
The Blood of War - Part 2,PickUp,"Find 4 Fuel conditioners in raid
Hand over 4 Fuel conditioners to Ragman","+14,600 EXP
Ragman Rep +0.03
20,000 Roubles
1× HighCom Striker ACHHC IIIA helmet (variant Black)
1× NPP KlASS Korund-VM body armor (Black)
Unlocks craft for Ars Arma A18 Skanda plate carrier at Lavatory level ??",Yes
The Blood of War - Part 3,Completion,"Find and mark the first fuel stash with an MS2000 Marker on Woods
Find and mark the second fuel stash with an MS2000 Marker on Woods
Find and mark the third fuel stash with an MS2000 Marker on Woods
Survive and extract from the location","+21,300 EXP
Ragman Rep +0.04
75,000 Roubles
1× Mystery Ranch Blackjack 50 backpack (Multicam)",Yes
Sew it Good - Part 2,PickUp,"Obtain 2 BNTI Gzhel-K body armor in any condition
Hand over the 2 BNTI Gzhel-K body armor to Ragman","+17,500 EXP
Ragman Rep +0.03
1× ZSh-1-2M face shield
1× Maska-1SCh face shield (Olive Drab)
1× Altyn face shield",Yes
The Key to Success,PickUp,"Obtain the Clothes design handbook - Part 1 on Interchange
Hand over the Clothes design handbook - Part 1 to Ragman
Obtain the Clothes design handbook - Part 2 on Interchange
Hand over the Clothes design handbook - Part 2 to Ragman","+15,600 EXP
Ragman Rep +0.03
60,000 Roubles
2× Ghost balaclava
Unlocks purchase of Eberlestock G2 Gunslinger II backpack (Dry Earth) at Ragman LL3",Yes
No Fuss Needed,Standing,Reach level 3 loyalty with Therapist,"+15,800 EXP
Ragman Rep +0.03
32,000 Roubles
1× Altyn bulletproof helmet",Yes
The Stylish One,Elimination,Eliminate Killa 50 times,"+1 Charisma skill level
Unlocks purchase of Adik Tracksuit clothing at Ragman LL3",No
Supervisor,PickUp,"Obtain the Goshan cash register key
Hand over the Goshan cash register key to Ragman","+24,100 EXP
Ragman Rep +0.03
250,000 Roubles
1× Interchange plan map
1× FORT Defender-2 body armor
Unlocks barter for FORT Redut-T5 body armor at Ragman LL4",Yes
Sew it Good - Part 3,PickUp,"Obtain 2 6B43 6A Zabralo-Sh body armors in any condition
Hand over the 2 6B43 6A Zabralo-Sh body armors to Ragman","+18,200 EXP
Ragman Rep +0.03
65,000 Roubles
1× FORT Redut-T5 body armor
Unlocks barter for 6Sh118 raid backpack at Prapor LL4",Yes
Living High is Not a Crime - Part 1,PickUp,"Find 2 Bronze lion figurines in raid
Hand over Bronze lion figurines to Ragman
Find 2 Horse figurines in raid
Hand over 2 Horse figurines to Ragman
Find 1 Cat figurine in raid
Hand over 1 Cat figurine to Ragman
Find 1 Roler Submariner gold wrist watch in raid
Hand over 1 Roler Submariner gold wrist watch to Ragman
Find Golden egg in raid
Hand over the Golden egg to Ragman","+19,900 EXP
Ragman Rep +0.03
3× Golden neck chain
1× Vulkan-5 (LShZ-5) bulletproof helmet",Yes
Living High is Not a Crime - Part 2,PickUp,"Find 3 Antique teapots in raid
Find 2 Antique vases in raid
Find Axel parrot figurine in raid
Find 2 Raven figurines in raid
Hand over 3 Antique teapots to Ragman
Hand over 2 Antique vases to Ragman
Hand over the Axel parrot figurine
Hand over the 2 Raven figurines","+25,900 EXP
Ragman Rep +0.05
110,000 Roubles
1× Altyn bulletproof helmet
1× Altyn face shield
1× Ars Arma CPC MOD.1 plate carrier
Unlocks craft for Ars Arma CPC MOD.1 plate carrier at Lavatory level 3",Yes
Sew it Good - Part 4,PickUp,"Find 2 WARTECH TV-109 + TV-106 gear rigs in raid
Hand over 2 WARTECH TV-109 + TV-106 gear rigs to Ragman
Find 2 BlackRock chest rigs in raid
Hand over 2 BlackRock chest rigs to Ragman","+18,500 EXP
Ragman Rep +0.03
30,000 Roubles
1× ANA Tactical M2 plate carrier
1x Oakley Mechanism heavy duty backpack (Black)
Unlocks craft for 5.11 Tactical TacTec plate carrier at Lavatory level ??",Yes
Charisma Brings Success,Skill,Reach the required Charisma skill level of 10,"+15,600 EXP
Ragman Rep +0.03
60,000 Roubles
1× Ars Arma A18 Skanda plate carrier
Unlocks barter for FORT Redut-M body armor at Ragman LL4",Yes
Textile - Part 1,Pickup,"Find 5 Aramid fabrics in raid
Hand over 5 Aramid fabrics to Ragman
Find 10 Ripstop fabrics in raid
Hand over 10 Ripstop fabrics to Ragman
Find 3 Paracords in raid
Hand over 3 Paracords to Ragman","+32,000 EXP
100,000 Roubles
Unlocks purchase of IOTV Gen4 body armor (Assault Kit) at Ragman LL4
Unlocks purchase of BEAR TIGR lower or USEC Commando Lower clothing at Ragman LL3",No
Textile - Part 2,Pickup,"Find 10 Fleece fabrics in raid
Hand over 10 Fleece fabrics to Ragman
Find 10 Cordura polyamide fabrics in raid
Hand over 10 Cordura polyamide fabrics to Ragman
Find 5 KEKTAPE duct tapes in raid
Hand over 5 KEKTAPE duct tapes to Ragman","+34,800 EXP
100,000 Roubles
1× Mystery Ranch Blackjack 50 backpack (Multicam)
Unlocks purchase of BEAR TIGR upper or USEC TIER2 Upper clothing at Ragman LL3",No
Long Line,Elimination,Eliminate 30 PMCs inside the ULTRA mall on Interchange,"+84,000 EXP
1× 6Sh118 raid backpack
1× Rys-T bulletproof helmet
Unlocks barter for Tasmanian Tiger SK plate carrier (Multicam Black) at Ragman LL4",No
Booze,Pickup,"Find 10 Bottles of Tarkovskaya vodka in raid
Find 10 Bottles of Dan Jackiel whiskey in raid
Find 3 Canister with purified water in raid
Find 20 Bottles of Pevko Light beer in raid
Hand over 10 Bottles of Tarkovskaya vodka to Ragman
Hand over 10 Bottles of Dan Jackiel whiskey to Ragman
Hand over 3 Canister with purified water to Ragman
Hand over 20 Bottles of Pevko Light beer to Ragman","+107,000 EXP
+1 Attention skill level
+0.5 Crafting skill levels
3× Paracord
10× Piece of plexiglass
Unlocks barter for 6B43 6A Zabralo-Sh body armor at Prapor LL4
Unlocks barter for NFM THOR Integrated Carrier body armor at Ragman LL4",No
Audit,PickUp,"Obtain the financial records on Streets of Tarkov
Hand over the journal","+8,700 EXP
Ragman Rep +0.02
200,000 Roubles
Unlocks purchase of 6B13 assault armor (Flora) at Ragman LL2",No
Ballet Lover,Completion,"Locate the balletmeister's apartment on Streets of Tarkov
Survive and extract from the location","+10,700 EXP
Ragman Rep +0.02
66,000 Roubles
1× Eagle Industries MMAC plate carrier (Ranger Green)
Unlocks purchase of 6B5-15 Zh-86 Uley armored rig at Ragman LL2",No
Audiophile,PickUp,"Locate the musician gathering spot on Streets of Tarkov
Obtain the engraved guitar pick
Hand over the guitar pick","+17,200 EXP
Ragman Rep +0.02
87,000 Roubles
1× Roler Submariner gold wrist watch
1× Gold skull ring
Unlocks purchase of CQC Osprey MK4A plate carrier (Assault, MTP) at Ragman LL3",No
Overseas trust - Part 2,Merchant,"Hand over 50,000 USD",Unlocks purchase of USEC Predator clothing at Ragman LL4,No
Dandies,Elimination,"Eliminate any 30 enemies while wearing a Bomber beanie and RayBench Hipster Reserve sunglasses on Streets of Tarkov
Stash a Bomber beanie inside the barber shop on Streets of Tarkov
Stash RayBench Hipster Reserve sunglasses inside the barber shop on Streets of Tarkov","+33,000 EXP
Ragman Rep +0.03
350,000 Roubles
1× FORT Redut-M body armor",No
Nothing Fishy About This,Exploration,"Locate Ragman's SUV on Shoreline
Survive and extract from the location","+7,200 EXP
Ragman Rep +0.01
25,000 Roubles
1× Stich Profi Chest Rig MK2 (Recon, A-TACS FG)",No
JaegerNote: To get access to Jaeger you need to complete the quest Introduction from Mechanic.,,,,
Quest,Type,,,Objectives
Acquaintance,Completion,"Find 3 Iskra ration packs in raid
Find 2 Packs of instant noodles in raid
Find 2 Cans of beef stew (Large) in raid
Hand over the 3 in raid Iskra ration packs
Hand over the 2 in raid Packs of instant noodles
Hand over the 2 in raid Cans of beef stew (Large)","+3,900 EXP
Jaeger Rep +0.01
50,000 Roubles
1× SurvL Survivor Lighter",Yes
The Survivalist Path - Unprotected but Dangerous,Completion,Eliminate 5 Scavs without wearing any body armor on Woods,"+5,600 EXP
Jaeger Rep +0.02
35,000 Roubles
1× Kalashnikov AKMSN 7.62x39 assault rifle
200× 7.62x39mm PS gzh",Yes
The Survivalist Path - Thrifty,Completion,"Stash 1 Iskra ration pack in the ZB-016 bunker on Woods
Stash 1 Bottle of water in the ZB-016 bunker on Woods
Stash 1 Iskra ration pack in the ZB-014 bunker on Woods
Stash 1 Bottle of water in the ZB-014 bunker on Woods","+4,700 EXP
Jaeger Rep +0.01
22,000 Roubles
2× Phase control relay
1× Metal fuel tank
Unlocks purchase of Iskra ration pack at Jaeger LL2",Yes
The Survivalist Path - Zhivchik,Completion,"Survive for 5 minutes while suffering from complete dehydration (Excluding Factory)
Survive and extract from the location","+5,700 EXP
Jaeger Rep +0.02
30,000 Roubles
2× Aquamari water bottle with filter
2× water filter",Yes
The Survivalist Path - Wounded Beast,Completion,Eliminate 3 Scavs while suffering from pain effect,"+5,800 EXP
+1 Stress resistance skill level
Jaeger Rep +0.02
65,000 Roubles
Unlocks purchase of Benelli M3 Super 90 dual-mode 12ga shotgun at Jaeger LL2",Yes
The Survivalist Path - Tough Guy,Completion,Eliminate 3 Scavs on Woods in a single raid without using any medicine,"+7,000 EXP
+1 Perception skill level
Jaeger Rep +0.02
40,000 Roubles
1× CMS surgical kit
3× Pile of meds",Yes
Courtesy Visit,Completion,"Find the chairman's house in the abandoned village on Shoreline
Find the fisherman's house in the abandoned village on Shoreline
Find the priest's house in the abandoned village on Shoreline
Survive and extract from Shoreline with the ""Survived"" exit status","+11,800 EXP
Jaeger Rep +0.03
35,000 Roubles
5× Emelya rye croutons
5× Pack of milk",Yes
Nostalgia,Completion,"Locate Jaeger's Health Resort room with a view of the bay on Shoreline
Obtain Jaeger's Photo album
Hand over the Photo album to Jaeger","+16,800 EXP
Jaeger Rep +0.02
30,000 Roubles
1× Documents case
1× HEP station storage room key",Yes
The Survivalist Path - Cold Blooded,Completion,Eliminate 2 PMCs with headshots while suffering from tremor effect,"+5,900 EXP
+1 Stress Resistance skill level
Jaeger Rep +0.02
75,000 Roubles",No
The Survivalist Path - Junkie,Elimination,Eliminate 15 Scavs on Woods while under any stimulant effect,"+5,900 EXP
+2 Metabolism skill levels
Jaeger Rep +0.02
30,000 Roubles
30× 12/70 RIP
80× 5.56x45mm Warmageddon
1x 5.45x39mm BT gs ammo pack (120 pcs)",Yes
The Survivalist Path - Eagle-Owl,Completion,Eliminate 6 Scavs in the time period of 21:00-04:00 without using any NVGs or thermal sights (Excluding Factory),"+5,900 EXP
+0.5 Perception skill levels
Jaeger Rep +0.02
40,000 Roubles
3× Armasight Vulcan MG 3.5x Bravo night vision scope",Yes
The Survivalist Path - Combat Medic,Completion,Reach the required Vitality skill level of 5,"+5,900 EXP
+2 Surgery skill levels
Jaeger Rep +0.02
50,000 Roubles",Yes
Ambulance,Completion,"Hand over 1 Portable defibrillator to Jaeger
Find 2 CMS surgery kits in raid
Find 1 Portable defibrillator in raid
Hand over 2 CMS surgery kits to Jaeger","+14,800 EXP
+1 Vitality skill level
Jaeger Rep +0.02
35,000 Roubles
3× Grizzly medical kit
3× Golden Star balm
Unlocks purchase of Surv12 field surgical kit at Jaeger LL3",Yes
The Huntsman Path - Secured Perimeter,Completion,Eliminate 6 PMСs on Factory in the office area (any floor),"+9,800 EXP
Jaeger Rep +0.02
37,000 Roubles
2× Pliers Elite
1× Toolset
2× Nippers
2× Corrugated hose",Yes
The Huntsman Path - Crooked Cop,Elimination,"Locate and eliminate Kollontay on Streets of Tarkov
Eliminate Kollontay's guards on Streets of Tarkov
Hand over Kollontay's police baton","+36,000 EXP
Jaeger Rep +0.02
150,000 Roubles
1× Intelligence folder
5× GP coin
1× Accuracy International AXMC .338 LM bolt-action sniper rifle",No
Reserve,Completion,"Find the food storage location on Reserve
Survive and extract from the location","+11,800 EXP
Jaeger Rep +0.02
16,000 Roubles
3× Pack of nails
3× Pack of screws
1× Silicone tube
2× Broken LCD",Yes
The Huntsman Path - Forest Cleaning,Completion,Eliminate 30 Scavs all over the Tarkov territory,"+5,900 EXP
Jaeger Rep +0.02
55,000 Roubles
1× TOZ KS-23M 23x75mm pump-action shotgun
10× 23x75mm Barrikada slug",Yes
The Huntsman Path - Controller,Completion,Eliminate 2 PMCs while they are suffering from the stun effect,"+7,200 EXP
Jaeger Rep +0.02
50,000 Roubles
1× NcSTAR ADO P4 Sniper 3-9x42 riflescope",Yes
The Huntsman Path - Evil Watchman,Completion,Eliminate 5 PMCs in the Dorms area on Customs,"+10,000 EXP
Jaeger Rep 0.02
75,000 Roubles
2× Intelligence folder
2× Secure Flash drive",Yes
Fishing Place,Completion,"Find 2 TerraGroup Labs access keycards in raid
Hand over 2 TerraGroup Labs access keycards to Jaeger","+18,000 EXP
Jaeger Rep +0.02
40,000 Roubles
1× Remington Model 700 7.62x51 bolt-action sniper rifle (variant AAC SD)
1× FORT Redut-M body armor",Yes
The Huntsman Path - Trophy,Completion,"Eliminate Reshala
Find 1 Reshala's Golden TT in raid
Hand over 1 Reshala's Golden TT to Jaeger","+15,300 EXP
Jaeger Rep +0.02
90,000 Roubles
1× Magazine case
3x Golden neck chain
2x Gold skull ring
1x Roler Submariner gold wrist watch",Yes
The Huntsman Path - Justice,Completion,Eliminate 3 Scavs dressed in police uniform (Reshala's bodyguards),"+12,300 EXP
Jaeger Rep +0.02
80,000 Roubles
3× Expeditionary fuel tank
2× Propane tank (5L)
1× WD-40 (400ml)",Yes
The Huntsman Path - Sellout,Elimination,"Eliminate Killa
Find 1 Killa's helmet in raid
Hand over 1 Killa's helmet to Jaeger","+18,000 EXP
Jaeger Rep +0.02
150,000 Roubles
3× Intelligence folder
1× IDEA cash register key
1× OLI cash register key
5× Slickers chocolate bar
5× Can of TarCola soda
Unlocks barter for RPK-16 5.45x39 light machine gun at Prapor LL2",Yes
The Huntsman Path - Woods Keeper,Completion,"Eliminate Shturman
Find 1 Shturman's stash key in raid
Hand over 1 Shturman's stash key to Jaeger","+18,000 EXP
Jaeger Rep +0.02
4× Gunpowder ""Hawk""
1× VPX Flash Storage Module
3× TerraGroup Labs access keycard
Unlocks purchase of Remington Model 700 7.62x51 bolt-action sniper rifle (variant ARCH) at Jaeger LL3
Unlocks purchase of Remington Model 700 7.62x51 bolt-action sniper rifle (variant AICS) at Jaeger LL3
Unlocks purchase of Remington Model 700 7.62x51 bolt-action sniper rifle (variant PRO) at Jaeger LL4
Unlocks purchase of Remington Model 700 7.62x51 bolt-action sniper rifle (variant MRS) at Jaeger LL4",Yes
Hunting Trip,Completion,Eliminate Shturman with a headshot from over 75 meters away while using an M700 Sniper rifle with the specified scope,"+15,000 EXP
Jaeger Rep +0.02
100,000 Roubles
1× VPX Flash Storage Module
1× Iridium military thermal vision module
1× Phased array element
Unlocks purchase of Accuracy International AXMC .338 LM bolt-action sniper rifle at Jaeger LL4",Yes
The Huntsman Path - Factory Chief,Completion,"Eliminate Tagilla
Find 1 BOSS cap in raid
Hand over 1 BOSS cap to Jaeger","+16,000 EXP
Jaeger Rep +0.02
700,000 Roubles
1× Factory emergency exit key",Yes
The Huntsman Path - Eraser - Part 1,Completion,Eliminate Glukhar,"+18,300 EXP
Jaeger Rep +0.02
200,000 Roubles
5,000 Dollars
1× Weapon case",Yes
The Huntsman Path - Eraser - Part 2,Completion,Eliminate 6 raiders,"+22,500 EXP
Jaeger Rep +0.02
80,000 Roubles
1× FLIR RS-32 2.25-9x 35mm 60Hz thermal riflescope
Unlocks barter for MP-155 Ultima thermal camera at Jaeger LL4",Yes
The Tarkov Shooter - Part 1,Elimination,Eliminate 5 Scavs while using a bolt-action rifle with iron sights from at least 40 meters away,"+12,300 EXP
Jaeger Rep +0.02
50,000 Roubles
2× PU 3.5x riflescope
2× PU 3.5x ring scope mount
2× Mosin Rifle Kochetov mount",Yes
The Tarkov Shooter - Part 2,Elimination,"Make 3 leg hits while using a bolt-action rifle from at least 40 meters away
Make 2 headshots while using a bolt-action rifle from at least 40 meters away","+12,400 EXP
Jaeger Rep +0.02
65,000 Roubles
1× Mosin Rifle AIM Sports MNG rail mount
2× Umka M33-SET1 hunter vest
Unlocks purchase of Mosin Rifle AIM Sports MNG rail mount at Jaeger LL1",Yes
The Tarkov Shooter - Part 3,Elimination,Eliminate 3 PMCs while using a bolt-action rifle at close range (less than 25 meters away),"+10,500 EXP
Jaeger Rep +0.02
70,000 Roubles
1× Mosin Rifle Tacfire Tanker Style 7.62x54R muzzle brake
1× Mosin Rifle AIM Sports Recoil Pad
1× Kinda cowboy hat
1× Cold Fear infrared balaclava
Unlocks purchase of Mosin Rifle Tacfire Tanker Style 7.62x54R muzzle brake at Jaeger LL2
Unlocks purchase of Mosin Rifle AIM Sports Recoil Pad at Jaeger LL2
Unlocks craft for .366 TKM AP-M at Workbench level 3",Yes
The Tarkov Shooter - Part 4,Elimination,Eliminate 5 PMC operatives from over 80 meters away while using a bolt-action rifle,"+11,800 EXP
Jaeger Rep +0.02
80,000 Roubles
1× Mosin Rifle AIM Sports Tri-Rail mount
1× Mosin Rifle Tacfire pistol grip
Unlocks purchase of Mosin Rifle AIM Sports Tri-Rail mount at Jaeger LL2
Unlocks purchase of Mosin Rifle Tacfire pistol grip at Jaeger LL2",Yes
The Tarkov Shooter - Part 5,Elimination,Eliminate 8 Scavs on Customs while using a bolt-action rifle in the time period of 21:00-5:00,"+13,000 EXP
Jaeger Rep +0.02
80,000 Roubles
1× Mosin Rifle Texas Precision Products 7.62x54R muzzle brake
1× PNV-10T Night Vision Goggles
Unlocks purchase of Mosin Rifle Texas Precision Products 7.62x54R muzzle brake at Jaeger LL3",Yes
The Tarkov Shooter - Part 6,Elimination,Eliminate 5 Sniper Scavs while using a bolt-action rifle,"+13,100 EXP
Jaeger Rep +0.02
85,000 Roubles
1× Mosin Rifle ATI Monte Carlo chassis
1× Ski hat with holes for eyes
Unlocks purchase of Mosin Rifle ATI Monte Carlo chassis at Jaeger LL3",Yes
The Tarkov Shooter - Part 7,Elimination,Eliminate 5 PMCs while using a suppressed bolt-action rifle from at least 45 meters away,"+13,300 EXP
Jaeger Rep +0.02
85,000 Roubles
1× Mosin Rifle Witt Machine 7.62x54R muzzle brake
1× Mosin Rifle Bramit 7.62x54R sound suppressor
Unlocks purchase of Mosin Rifle Witt Machine 7.62x54R muzzle brake at Jaeger LL3
Unlocks craft for 7.62x54mm R SNB gzh at Workbench level 3",Yes
The Tarkov Shooter - Part 8,Elimination,Eliminate 3 PMCs with a headshot and without dying while using a bolt-action rifle,"+30,000 EXP
+3 Sniper Rifles skill level
Jaeger Rep +0.01
400,000 Roubles
1× Mosin 7.62x54R bolt-action rifle (Sniper) (variant Archangel)
1× Military flash drive
Unlocks purchase of Mosin Rifle ProMag Archangel OPFOR PRS chassis at Jaeger LL4
Unlocks purchase of Mosin Rifle 7.62x54R ProMag Archangel OPFOR 10-round magazine at Jaeger LL4
Unlocks barter for Vortex Razor HD Gen.2 1-6x24 30mm riflescope at Jaeger LL4",Yes
Shady Business,PickUp,"Find 3 Secure Flash drives in raid
Hand over 3 Secure Flash drives to Jaeger","+11,400 EXP
Jaeger Rep +0.02
50,000 Roubles
1× SSD drive",Yes
The Huntsman Path - Sadist,Elimination,Eliminate Sanitar,"+16,300 EXP
Jaeger Rep +0.02
115,000 Roubles
1× Trijicon REAP-IR thermal scope
100× 12/70 AP-20 armor-piercing slug
2× Surv12 field surgical kit",No
Hunter,Elimination,Eliminate Shturman 20 times,"100,000 Roubles
1× Weapon case
1× Chain with Prokill medallion
Unlocks purchase of SWORD International Mk-18 .338 LM marksman rifle at Jaeger LL4",No
Pest Control,Elimination,Eliminate 10 Scavs in the barracks area on Reserve,"+7,400 EXP
Jaeger Rep +0.02
20,000 Roubles
2× PAID AntiRoach spray
6× Gunpowder ""Eagle""
4× Pack of nails
2× Can of thermite",Yes
Swift One,Elimination,Eliminate 15 PMCs without using any armor or helmets on Woods,"+107,000 EXP
+1 Endurance skill level
+1 Stress Resistance skill level
1× Train Hard armband
40× .338 Lapua Magnum AP
100× 7.62x39mm MAI AP",No
The Huntsman Path - Relentless,Elimination,"You must not die or leave the raid while the task is active (Status: KIA, Left the Action, MIA, Ran Through)
Eliminate Tagilla
Eliminate Killa
Eliminate Reshala
Eliminate Shturman
Eliminate Glukhar
Eliminate Sanitar","+280,000 EXP
+2 Crafting skill levels
+1 Immunity skill level
1× FLIR RS-32 2.25-9x 35mm 60Hz thermal riflescope
5× Expeditionary fuel tank
20× GP coin",No
The Hermit,Exploration,"Locate the hideout of Jaeger's friend on Lighthouse
Find and obtain the message for Jaeger
Hand over the message","+12,000 EXP
Jaeger Rep +0.02
55,000 Roubles",Yes
The Huntsman Path - Outcasts,Elimination,Eliminate 10 Rogue USEC operatives,"+9,000 EXP
Jaeger Rep +0.02
110,000 Roubles
Unlocks craft for 12/70 AP-20 armor-piercing slug at Workbench level 3",Yes
Stray Dogs,Elimination,"Locate and eliminate Knight
Locate and eliminate Big Pipe
Locate and eliminate Birdeye","+35,000 EXP
Jaeger Rep +0.02
250,000 Roubles
1× S I C C organizational pouch
1× SWORD International Mk-18 .338 LM marksman rifle
2× Mk-18 .338 LM 10-round magazine
20× .338 Lapua Magnum FMJ",Yes
The Delicious Sausage,Exploration,"Scout the Shestyorochka store at Nikitskaya street
Scout the Sparja store at Primorsky ave
Scout the Sparja store in Pinewood hotel
Scout the Goshan store in Concordia
Hand over the found in raid Salty Dog beef sausage","+2,600 EXP
Jaeger Rep +0.01
10,000 Roubles
2× Bolts
2× Screw nuts
1× Corrugated hose",Yes
Cease Fire!,Completion,Survive and extract from Streets of Tarkov through Klimov Street,"+5,600 EXP
Jaeger Rep +0.02
27,000 Roubles
1× ZiD SP-81 26x75 signal pistol
3× 26x75mm flare cartridge (Green)",No
Slaughterhouse,Elimination,"Eliminate 10 Scavs while using melee weapons on daytime Factory
Eliminate 10 Scavs while using melee weapons on Streets of Tarkov
Eliminate 10 Scavs while using melee weapons on Lighthouse
Eliminate 10 Scavs while using melee weapons on Woods
Eliminate 10 Scavs while using melee weapons on Shoreline
Eliminate 10 Scavs while using melee weapons on Interchange
Eliminate 10 Scavs while using melee weapons on Customs
Eliminate 10 Scavs while using melee weapons on Reserve","+34,700 EXP
Jaeger Rep +0.03
100,000 Roubles
Unlocks barter for SOG Voodoo Hawk tactical tomahawk at Jaeger LL4",No
Broadcast - Part 3,Completion,"Locate the place of bloody broadcast inside the old house on Streets of Tarkov
Survive and extract from the location","10,800 EXP
Jaeger Rep +0.03
68,000 Roubles
Unlocks barter for Surv12 field surgical kit at Jaeger LL2",No
Broadcast - Part 4,Completion,"Locate the cultist meeting spot on Streets of Tarkov
Survive and extract from the location","22,600 EXP
Jaeger Rep +0.03
94,000 Roubles
2× Expeditionary fuel tank",No
The Huntsman Path - Administrator,Elimination,"Eliminate any 20 targets at the Pinewood hotel on Streets of Tarkov
Shoot a yellow signal flare in the hotel's courtyard","+15,600 EXP
Jaeger Rep +0.02
81,000 Roubles
1× Remington Model 700 7.62x51 bolt-action sniper rifle",No
The Huntsman Path - Big Game,Elimination,"Locate and eliminate Kaban
Eliminate 5 of Kaban's guards at the car dealership on Streets of Tarkov","+33,000 EXP
Jaeger Rep +0.02
250,000 Roubles
1× 6-STEN-140-M military battery
5× Military circuit board
Unlocks barter for Armasight Zeus-Pro 640 2-8x50 30Hz thermal scope at Jaeger LL4",No
Broadcast - Part 5,Completion,"Locate and eliminate Priest
Locate the ritual spot on Chekannaya st. on Streets of Tarkov
Stash a Cultist knife at the ritual spot
Survive and extract from the location","24,000 EXP
Jaeger Rep +0.03
75,000 Roubles
2× Molot VPO-101 ""Vepr-Hunter"" 7.62x51 carbine
40× 7.62x51mm M61
Unlocks barter for Armasight Zeus-Pro 640 2-8x50 30Hz thermal scope at Jaeger LL4",No
"FenceNote: To get access to Fence's daily tasks for your Scav character you need to build the Hideout module ""Intelligence Center"".",,,,
Quest,Type,,,Objectives
Kappa container,PickUp,"Find Old firesteel in raid
Hand over the Old firesteel
Find Antique axe in raid
Hand over the Antique axe
Find Battered antique book in raid
Hand over the Battered antique book
Find FireKlean gun lube in raid
Hand over the FireKlean gun lube
Find Golden rooster figurine in raid
Hand over the Golden rooster figurine
Find Silver Badge in raid
Hand over the Silver Badge
Find Deadlyslob's beard oil in raid
Hand over the Deadlyslob's beard oil
Find Golden 1GPhone smartphone in raid
Hand over the Golden 1GPhone smartphone
Find Jar of DevilDog mayo in raid
Hand over the Jar of DevilDog mayo
Find Can of sprats in raid
Hand over the Can of sprats
Find Fake mustache in raid
Hand over the Fake mustache
Find Kotton beanie in raid
Hand over the Kotton beanie
Find Raven figurine in raid
Hand over the Raven figurine
Find Pestily plague mask in raid
Hand over the Pestily plague mask
Find Shroud half-mask in raid
Hand over the Shroud half-mask
Find Can of Dr. Lupo's coffee beans in raid
Hand over the Can of Dr. Lupo's coffee beans
Find 42 Signature Blend English Tea in raid
Hand over the 42 Signature Blend English Tea
Find Veritas guitar pick in raid
Hand over the Veritas guitar pick
Find Evasion armband in raid
Hand over the Evasion armband
Find Can of RatCola soda in raid
Hand over the Can of RatCola soda
Find Loot Lord plushie in raid
Hand over the Loot Lord plushie
Find WZ Wallet in raid
Hand over the WZ Wallet
Find LVNDMARK's rat poison in raid
Hand over the LVNDMARK's rat poison
Find Smoke balaclava in raid
Hand over the Smoke balaclava
Find Missam forklift key in raid
Hand over the Missam forklift key
Find Video cassette with the Cyborg Killer movie in raid
Hand over the Video cassette with the Cyborg Killer movie
Find BakeEzy cook book in raid
Hand over the BakeEzy cook book
Find JohnB Liquid DNB glasses in raid
Hand over the JohnB Liquid DNB glasses
Find Glorious E lightweight armored mask in raid
Hand over the Glorious E lightweight armored mask
Find Baddie's red beard in raid
Hand over the Baddie's red beard
Find DRD body armor in raid
Hand over the DRD body armor
Find Gingy keychain in raid
Hand over the Gingy keychain
Find Golden egg in raid
Hand over the Golden egg
Find Press pass (issued for NoiceGuy) in raid
Hand over the Press pass (issued for NoiceGuy)
Find Axel parrot figurine in raid
Hand over the Axel parrot figurine
Find BEAR Buddy plush toy in raid
Hand over the BEAR Buddy plush toy","1× Secure container Kappa
1× DEADSKUL armband",Yes
The Choice,Hand over,Hand over 1 Secure container Epsilon to Fence,"+433,333 EXP
Fence Rep +1.1
1,000,000 Roubles
+2 Hideout management skill levels",No
Compensation for Damage - Wager,Elimination,Eliminate 7 PMC operatives while using any AK-series assault rifle,Fence Rep +1,No
Compensation for Damage - Trust,Completion,"Hand over the 5 found in raid BEAR PMC dogtags
Hand over the 5 found in raid USEC PMC dogtags",Fence Rep +1,No
Compensation for Damage - Wergild,Completion,"Hand over 1,000,000 RUB",Fence Rep +1,No
Compensation for Damage - Barkeep,Completion,"Hand over the found in raid Bottle of Dan Jackiel whiskey
Hand over the 3 found in raid Can of TarCola soda",Fence Rep +1,No
Compensation for Damage - Collection,Completion,Hand over the 2 found in raid Colt M4A1 assault rifles,Fence Rep +1,No
